id,category,article,version,description,trigger_words,weight,download_url,url
sd15_0132,action,anime_kiss,v10,,kiss/tongue kiss,,,https://civitai.com/models/21458/anime-kisses
sd15_0133,style,anime_figure,v10,,figure,,,https://civitai.com/models/247230?modelVersionId=278930
sd15_0134,style,pixel_art,v40,,pixel_art,1,,https://civitai.com/models/185743/8bitdiffuser-64x-or-a-perfect-pixel-art-model
sd15_0135,style,lineart_manga,v30,,"lineart, monochrome",1,,https://civitai.com/models/16014/anime-lineart-manga-like-style
sd15_0136,style,minimal_anime,v10,,anime minimalist,,,https://civitai.com/models/24833/minimalist-anime-style
sd15_0137,style,game_3d_jianzhu,v10,,gmic_\(iconjianzhu\),,,https://civitai.com/models/395240/gmic-icon3djianzhu
sd15_0138,style,game_2d_scene,v10,,gmic icon_\(sence\),,,https://civitai.com/models/372956/gmic-icongui
sd15_0139,style,chinese_brushwork,v10,,,,,https://civitai.com/models/116545/niji-cfreehandbrushwork
sd15_0140,style,watercolor_niji,v10,,,,,https://civitai.com/models/104707/niji-watercolor
sd15_0141,style,vector_art_niji,v10,,,,,https://civitai.com/models/107734/niji-vectorillustration
sd15_0142,style,line_art_niji,v10,,,,,https://civitai.com/models/104597/niji-handdrawminimalistlineart
sd15_0143,style,flat_art_niji,v10,,,,,https://civitai.com/models/111408/niji-geometricshapes
